Date,Time,Time_S,Sensor UK,Sensor FR,FR Temp,FR Humidity,UK Temp,UK Humidity
5/1/2020,23:45:55,0,280,319,7.22,87,6.2,87
5/1/2020,23:50:05,5,280,319,7.15,87,6.2,87
5/1/2020,23:55:16,10,281,319,7.15,87,6.2,87
5/1/2020,0:00:25,15,281,319,7.15,87,6.22,87
5/1/2020,0:05:35,20,279,319,7.21,87,6.21,93
5/1/2020,0:10:45,25,280,319,7.21,87,6.21,93
5/1/2020,0:15:56,30,280,319,7.09,93,6.22,93
5/1/2020,0:20:14,35,280,319,7.03,93,6.21,93
5/1/2020,0:25:14,40,280,320,7.09,93,6.25,93
5/1/2020,0:30:24,45,280,320,7.02,93,6.3,93
5/1/2020,0:35:34,50,280,320,7.02,93,6.3,93
5/1/2020,0:40:13,55,280,320,7.02,93,6.28,93
5/1/2020,0:45:13,60,280,320,7.02,93,6.35,93
5/1/2020,0:50:23,65,280,320,7.43,93,6.28,93
5/1/2020,0:55:33,70,280,320,7.43,93,6.35,93
5/1/2020,1:00:13,75,280,320,7.42,93,6.33,93
5/1/2020,1:05:23,80,280,320,7.42,93,6.35,93
5/1/2020,1:10:44,85,280,320,6.87,93,6.38,93
5/1/2020,1:15:54,90,280,320,6.89,93,6.36,93
5/1/2020,1:20:13,95,280,320,6.76,93,6.36,93
5/1/2020,1:25:13,100,280,320,6.76,93,6.43,93
5/1/2020,1:30:14,105,241,320,6.62,93,6.47,81
5/1/2020,1:35:24,110,280,320,6.49,86,6.49,81
5/1/2020,1:40:34,115,280,320,7.02,86,6.48,81
5/1/2020,1:45:14,120,280,320,7.02,86,6.48,81
5/1/2020,1:50:24,125,280,321,6.91,86,6.49,81
5/1/2020,1:55:14,130,280,320,6.91,86,6.47,81
5/1/2020,2:00:25,135,224,321,6.91,86,6.47,81
5/1/2020,2:05:35,140,280,321,6.91,86,6.45,93
5/1/2020,2:10:45,145,280,321,5.82,93,6.46,81
5/1/2020,2:15:55,150,280,321,6.19,93,6.46,81
5/1/2020,2:20:05,155,280,321,6.19,93,6.46,81
5/1/2020,2:25:13,160,280,321,6.3,93,6.41,93
5/1/2020,2:30:14,165,281,321,6.3,93,6.4,93
5/1/2020,2:35:14,170,280,321,6.37,93,6.45,93
5/1/2020,2:40:14,175,280,321,6.37,93,6.44,93
5/1/2020,2:45:14,180,280,321,6.37,93,6.44,93
5/1/2020,2:50:14,185,230,321,6.15,93,6.47,87
5/1/2020,2:55:24,190,280,322,6.14,93,6.47,87
5/1/2020,3:05:13,195,280,322,6.15,93,6.43,93
5/1/2020,3:10:13,200,281,322,6.21,86,6.46,93
5/1/2020,3:15:23,205,280,322,6.31,86,6.43,93
5/1/2020,3:20:33,210,280,322,6.31,86,6.43,93
5/1/2020,3:25:54,215,280,322,5.93,86,6.41,93
5/1/2020,3:30:06,220,280,322,5.93,86,6.41,93
5/1/2020,3:35:14,225,280,322,5.93,86,6.48,93
5/1/2020,3:40:24,230,280,323,5.79,86,6.42,93
